term, term, count
FMR1, fragile_x_syndrome, 74
MECP2, rett_syndrome, 73
SHANK3, social_competence, 68
FMR1, epilepsy, 51
TRIO, mental_disorders, 47
PTEN, epilepsy, 46
NRXN1, schizophrenia_and_disorders_with_psychotic_features, 37
UBE3A, epilepsy, 29
SHANK2, social_competence, 28
UBE3A, fragile_x_syndrome, 28
TSC1, tuberous_sclerosis, 27
TSC2, tuberous_sclerosis, 26
MTOR, neurologic_indications, 23
MTOR, fragile_x_syndrome, 23
CHD8, onset_of_symptoms, 23
GABRB3, epilepsy, 22
GABRB3, mental_disorders, 21
GRIN2B, mental_disorders, 20
BDNF, working_memory, 20
SHANK1, social_competence, 18
RELN, mental_disorders, 18
TH, exposures, 17
OXT, social_competence, 17
SCN2A, epilepsy, 17
SCN1A, epilepsy, 17
OXTR, social_competence, 16
FOXP2, schizophrenia_and_disorders_with_psychotic_features, 16
FOXP2, mental_disorders, 15
SYNGAP1, mental_disorders, 15
SCN1A, neurologic_indications, 15
DISC1, mental_disorders, 14
MAP2, rett_syndrome, 14
APP, visual_thinking, 14
NLGN1, onset_of_symptoms, 14
FOXP1, language_ability, 14
SYNGAP1, schizophrenia_and_disorders_with_psychotic_features, 14
CD38, social_competence, 14
SCN1A, rett_syndrome, 14
SCN1A, siezures, 14
DYRK1A, epilepsy, 13
CD38, working_memory, 13
NF1, fragile_x_syndrome, 12
CHRNA7, epilepsy, 12
CHRNA7, schizophrenia_and_disorders_with_psychotic_features, 12
CD38, onset_of_symptoms, 12
RORA, medications, 11
NLGN4X, onset_of_symptoms, 11
FOXG1, rett_syndrome, 10
CACNA1C, mental_disorders, 10
CYFIP1, fragile_x_syndrome, 10
PAX6, mental_disorders, 10
HOMER1, working_memory, 10
BCL2, neurologic_indications, 9
NSD1, epilepsy, 9
EIF4E, fragile_x_syndrome, 9
GAD1, schizophrenia_and_disorders_with_psychotic_features, 9
CHD7, mental_disorders, 9
RORA, exposures, 9
EN2, social_competence, 9
STXBP1, epilepsy, 9
AR, medications, 9
SLC6A4, social_competence, 8
NSD1, neurologic_indications, 8
FOXG1, epilepsy, 8
EIF4E, working_memory, 8
PAX6, schizophrenia_and_disorders_with_psychotic_features, 8
SNRPN, schizophrenia_and_disorders_with_psychotic_features, 8
CDKL5, epilepsy, 8
TCF4, schizophrenia_and_disorders_with_psychotic_features, 8
AUTS2, fragile_x_syndrome, 8
GAD1, dietary_supplements, 8
MAPK3, schizophrenia_and_disorders_with_psychotic_features, 8
EN2, medications, 8
DCX, perinatal_history, 8
MSN, social_competence, 8
NRXN3, mental_retardation, 8
ADNP, comorbidities, 8
AR, onset_of_symptoms, 8
CDH10, onset_of_symptoms, 8
CDH10, medications, 8
CDH9, onset_of_symptoms, 7
IL6, exposures, 7
IL6, neurologic_indications, 7
NSD1, rett_syndrome, 7
DNMT3A, mental_retardation, 7
PON1, exposures, 7
RAC1, social_competence, 7
RAC1, neurologic_indications, 7
ASMT, medications, 7
ASMT, attention_deficit_disorder_with_hyperactivity, 7
