asd_term,document_count,total_count
'Hospitalizations',254,254
'Medications',486,486
'Depressive Disorder',256,256
'Pica',89,89
'Medical History',140,140
'Working Memory',311,311
'Mental Disorders',452,452
'Cognitive Ability',632,632
'Reciprocal Social Interaction',627,627
'Abnormal Activity or Energy Level',84,84
'Diagnosis',644,644
'Neurologic Indications',400,400
'Stereotyped Restricted and Repetitive Behavior',514,514
'Medical History',,5,5
'Learning Disorders',897,897
'Onset of Symptoms',437,437
'Epilepsy',401,401
'Medications',,55,55
'Perinatal History',309,309
'Virus Diseases',80,80
'Comorbidities',270,270
'Mental Retardation',288,288
'Development or Regression of Language Skills',89,89
'Ability to Converse in Social Settings',211,211
'Exposures',328,328
'Allergies',98,98
'Asthma',37,37
'Learning Disorders',,95,95
'Vocalizations',97,97
'Fragile X Syndrome',252,252
'Perinatal Exposures',90,90
'Schizophrenia and Disorders with Psychotic Features',362,362
'Personal Traits',109,109
'Bipolar Disorder',175,175
'Tuberous Sclerosis',130,130
'Bacterial Infections',89,89
'Prosody',51,51
'Autism Phenotype',207,207
'Attention Deficit Disorder with Hyperactivity',222,222
'Central Nervous System Diseases',79,79
'Imagination',41,41
'Executive Function',118,118
'Autistic Disorder',192,192
'Pica',,9,9
'Complaints and Indications',377,377
'Ability to Convey Correct Information',27,27
'Epilepsy',,28,28
'Metabolic Indications',96,96
'Diabetes Mellitus Type 1',70,70
'Exposures',,54,54
'Ability to Convey Information',73,73
'Problem Solving Ability',22,22
'Smoking',56,56
'Restricted and Repetitive Behavior',137,137
'Alcohol Drinking',62,62
'Down Syndrome',66,66
'Asperger Syndrome',184,184
'Neurodegenerative Diseases',68,68
'Planning',88,88
'Non-Verbal Communication',47,47
'Cognitive Ability',,69,69
'Performance of Chores',75,75
'Sharing',3,3
'Overactivity',249,249
'Fragile X Syndrome',,12,12
'Fine Motor Skills',35,35
'Reaction to Sensory Stimuli',68,68
'Post-Traumatic Stress Disorders',55,55
'Rett Syndrome',167,167
'Comorbidities',,19,19
'Dietary Supplements',212,212
'Anxiety Disorders',267,267
'Social Competence',368,368
'Dietary Restrictions',107,107
'Systemic Lupus Erythematosus',27,27
'Congenital Abnormalities',56,56
'Visual Perception',8,8
'Inflammatory Bowel Diseases',26,26
'Dietary Supplements',,43,43
'Visual Thinking',316,316
'Involuntary Behaviors',20,20
'Mood',73,73
'Hearing Loss',32,32
'Vaccination',20,20
'Hydrocephalus',122,122
'Use of Free Time',7,7
'Cardiovascular Diseases',61,61
'Empathy',86,86
'Autoimmune Diseases',48,48
'Restricted Range of Interests',79,79
'Expressive Language',54,54
'Skin Indications',12,12
'Eye Contact',60,60
'Imitation',18,18
'Nervous System Diseases',27,27
'Reciprocal Social Interaction',,35,35
'Language Development',83,83
'Language Ability',175,175
'Obsessive-Compulsive Disorder',114,114
'Integrated Verbal and NonVerbal Communication',75,75
'Diagnosis',,67,67
'Autism Phenotype',,12,12
'Performance in School',13,13
'Asperger Syndrome',,9,9
'Adaptive Life Skills',9,9
'Language Ability',,12,12
'Smoking',,2,2
'Psychiatric Hospitalization',51,51
'Phenylketonurias',12,12
'Self-Injurious Behavior',42,42
'Conversational Skills',47,47
'Engagement in Social Activities',19,19
'Task Performance',36,36
'Restricted and Unusual Interests',16,16
'Decision Making Ability',17,17
'Social Competence',,22,22
'IQ',70,70
'Hospitalizations',,13,13
'Regression of General Skills',15,15
