Label,Group,Count,RelevantCount
Adherence To Rituals And Routines,Stereotyped Restricted and Repetitive Behaviours,1,1
Awareness Of Social Cues,Recognition of Social Norms,120,33
Eating Ability,Adaptive Life Skills,3,3
Expressive Language,Language Ability,126,126
Expressive Semantics,Language Ability,4,4
Inflammatory Bowel Diseases,Comorbidities,31,8
Neurodegenerative Diseases,Comorbidities,83,83
Understanding Context,Recognition of Social Norms,1,1
Visual Thinking,Cognitive Abilties,684,239
Initiating And Responding To Social Overtures,Interpersonal Interactions,1,1
Neurologic Indications,Complaints and indications,596,266
Job Performance,Adaptive Life Skills,129,51
Integrated Verbal And Nonverbal Communication,Language Ability,298,106
Systemic Lupus Erythematosus,Comorbidities,30,30
Allergies,Comorbidities,123,38
Angelman Syndrome,Comorbidities, 24,10
Emotional Swings,Emotional Traits,9,9
Awareness And Avoidance Of Danger,Executive Function,5,5
Imagination,Cognitive Abilties,113,38
Fine Motor Skills,Motor Skills,75,75
Reciprocal Social Interaction,Interpersonal Interactions,1254,616
Language Ability,Language Ability,309,82
Medications,Exposures,841,362
Sensitivity To Conversant,Recognition of Social Norms,4,4
Interactions With Friends And Family,Interpersonal Interactions,30,30
Insistence On Order,Stereotyped Restricted and Repetitive Behaviours,2,2
Reaction To Sensory Stimuli,Stereotyped Restricted and Repetitive Behaviours,164,72
Apgar Score,Perinatal History,29,29
Preparing For Tasks,Executive Function,3,3
Rubella,Comorbidities,12,5
Toileting,Adaptive Life Skills,6,6
Depressive Disorder,Comorbidities,452,140
Iq,Cognitive Abilties,194,50
Vaccination,Exposures,22,9
Anxiety Disorders,Comorbidities,564,143
Migraine Disorders,Comorbidities,31,31
Depression,Emotional Traits,63,17
Task Initiation,Executive Function,1,1
Awareness Of Social And Personal Space,Recognition of Social Norms,8,3
Relating To Others,Interpersonal Interactions,45,45
Emotional Traits,Emotional Traits,9,9
Expressive Morphology,Language Ability,3,3
Aggressive Behavior,Recognition of Social Norms,245,50
Gastrointestinal Diseases,Comorbidities,63,22
Restricted And Repetitive Behavior,Stereotyped Restricted and Repetitive Behaviours,292,88
Initiating Social Interaction,Interpersonal Interactions,29,29
Social Anxiety,Interpersonal Interactions,10,10
Fragile X Syndrome,Comorbidities,303,44
Space Perception,Cognitive Abilties,3,3
Hydrocephalus,Comorbidities,173,70
Psychologic Indications,Complaints and indications,14,14
Hygiene,Adaptive Life Skills,21,4
Attention Deficit Disorder With Hyperactivity,Comorbidities,386,107
Ability To Converse In Social Settings,Recognition of Social Norms,606,158
Emotional Outbursts,Executive Function,64,14
Sorting Ability,Executive Function,3,3
Diabetes Mellitus Type 1,Comorbidities,91,33
Performance Of Chores,Adaptive Life Skills,99,99
Anxiety,Emotional Traits,10,10
Clothing Self,Adaptive Life Skills,32,32
Engaging In Social Play,Interpersonal Interactions,40,40
Interpersonal Interactions,Interpersonal Interactions,22,22
Understanding Logical Progression,Cognitive Abilties,7,7
Task Completion,Executive Function,8,8
Color Perception,Cognitive Abilties,2,2
Language Development,Language Ability,140,39
Perinatal Exposures,Perinatal History,121,40
Social Awkwardness,Interpersonal Interactions,19,3
Ulcerative Colitis,Comorbidities,30,30
Head Injury,Exposures,60,60
Rett Syndrome,Diagnosis,215,70
Planning,Executive Function,243,93
Substance Abuse,Exposures,49,14
Autistic Disorder,Diagnosis,320,47
Motor Skills,Motor Skills,233,72
Receptive Semantics,Language Ability,3,3
Insistence On Routine,Stereotyped Restricted and Repetitive Behaviours,1,1
Post Traumatic Stress Disorders,Comorbidities,115,30
Distant Or Preoccupied Affect,Emotional Traits,9,9
Abnormal Activity Or Energy Level,Complaints and indications,136,45
Exposures,Exposures,484,151
Ability To Convey Feelings,Recognition of Social Norms,8,8
Imitation,Interpersonal Interactions,29,29
Ability To Engage In Casual Conversation,Recognition of Social Norms,19,19
Sexual Issues,Complaints and indications,10,10
Social Interest,Interpersonal Interactions,100,31
Alcohol Drinking,Exposures,106,16
Respiratory Indications,Complaints and indications,33,33
Perinatal History,Perinatal History,498,132
Complaints And Indications,Complaints and indications,753,237
Dietary Restrictions,Exposures,131,41
Pregnancy Complications,Perinatal History,23,23
Compulsive Behavior,Stereotyped Restricted and Repetitive Behaviours,7,7
Phenylketonurias,Comorbidities,15,3
Managing Internal Emotions,Executive Function,8,8
Substance Abuse During Pregnancy,Perinatal History,5,5
Isolated Cognitive Skills,Cognitive Abilties,15,5
Interpersonal Awareness,Interpersonal Interactions,13,13
Numeracy,Cognitive Abilties,49,10
Destructive Behavior,Recognition of Social Norms,2,2
Impulse Control And Regulation,Executive Function,21,21
Development Or Regression Of Language Skills,Language Ability,225,117
Siezures,Comorbidities,297,76
Eye Contact,Interpersonal Interactions,181,63
Money Management,Adaptive Life Skills,13,13
Hearing Loss,Comorbidities,47,47
Attention And Focus,Executive Function,133,133
Complications In Infancy,Perinatal History,5,5
Celiac Disease,Comorbidities,14,5
Understanding The Effect Of Ones Actions,Interpersonal Interactions,5,5
Restricted And Unusual Interests,Stereotyped Restricted and Repetitive Behaviours,47,47
Bipolar Disorder,Comorbidities,238,71
Autoimmune Diseases,Comorbidities,54,54
Preparation Of Food,Adaptive Life Skills,19,19
Keeps To Self,Interpersonal Interactions,2,2
Lack Of Appropriate Guilt,Recognition of Social Norms,2,2
Overactivity,Complaints and indications,423,140
Immoderate Behavior,Executive Function,43,43
Sharing In Interests Of Others,Interpersonal Interactions,46,46
Congenital Heart Defects,Comorbidities,15,15
Obstetric Delivery Complications,Perinatal History,32,32
Gastroesophageal Reflux,Comorbidities,18,18
Task Performance,Executive Function,114,42
Social Competence,Social Competence,854,405
Mood Disorders,Comorbidities,55,55
Receptive Morphology,Language Ability,2,2
Response Inhibition,Executive Function,42,42
Skin Indications,Complaints and indications,20,20
Form Perception,Cognitive Abilties,7,7
Restricted Range Of Interests,Stereotyped Restricted and Repetitive Behaviours,163,25
Medical History,Medical History,163,163
Intense Interests,Stereotyped Restricted and Repetitive Behaviours,22,22
Working Memory,Executive Function,512,161
Mental Flexibility,Executive Function,13,13
Pregnancy Outcome,Perinatal History,11,11
Conversational Skills,Recognition of Social Norms,99,35
Affect,Emotional Traits,24,24
Diagnosis,Diagnosis,1204,615
Onset Of Symptoms,Diagnosis,775,382
Epilepsy,Comorbidities,455,81
Functional Laterality,Motor Skills,32,8
