Label,Group,Count,RelevantCount
Numeracy,Cognitive Abilties,26,6
Herpesviridae Infections,Comorbidities,4,4
Urogenital Diseases,Comorbidities,20,20
Initiating Social Interaction,Interpersonal Interactions,8,8
Interpersonal Awareness,Interpersonal Interactions,4,4
Anxiety Disorders,Comorbidities,271,61
Conversational Skills,Recognition of Social Norms,47,47
Nervous System Diseases,Comorbidities,27,27
Ability To Engage In Casual Conversation,Recognition of Social Norms,6,6
Onset Of Symptoms,Diagnosis,444,234
Tuberous Sclerosis,Comorbidities,133,20
Diagnosis,Diagnosis,100,69
Emotional Swings,Emotional Traits,3,3
Fragile X Syndrome,Comorbidities,254,58
Money Management,Adaptive Life Skills,10,10
Sleeping Problems,Complaints and indications,73,20
Space Perception,Cognitive Abilties,3,3
Working Memory,Executive Function,313,162
Ability To Converse In Social Settings,Recognition of Social Norms,211,84
Home Life Skills,Adaptive Life Skills,2,2
Response Inhibition,Executive Function,21,21
Tourette Syndrome,Comorbidities,58,20
Sexual Issues,Complaints and indications,5,5
Hygiene,Adaptive Life Skills,13,2
Regression Of General Skills,Adaptive Life Skills,15,15
Congenital Heart Defects,Comorbidities,9,9
Impulse Control And Regulation,Executive Function,9,9
Anxiety,Emotional Traits,4,4
Allergies,Comorbidities,98,34
Mood Disorders,Comorbidities,41,41
Ability To Convey Appropriate Level Of Detail,Recognition of Social Norms,9,9
Non Verbal Communication,Language Ability,49,49
Understanding The Effect Of Ones Actions,Interpersonal Interactions,1,1
Celiac Disease,Comorbidities,11,4
Gastroesophageal Reflux,Comorbidities,14,14
Emotional Traits,Emotional Traits,2,2
Form Perception,Cognitive Abilties,1,1
Aggressive Behavior,Recognition of Social Norms,130,46
Overactivity,Complaints and indications,267,93
Cardiovascular Diseases,Comorbidities,62,29
Epilepsy,Comorbidities,329,100
Smoking,Exposures,56,15
Decision Making Ability,Executive Function,18,18
Insistence On Order,Stereotyped Restricted and Repetitive Behaviours,2,2
Engagement In Social Activities,Adaptive Life Skills,20,20
Metabolic Indications,Complaints and indications,97,42
Task Completion,Executive Function,2,2
Vaccination,Exposures,20,9
Gross Motor Skills,Motor Skills,19,19
Strange Or Illogical Ideas,Complaints and indications,2,2
Prader Willi Syndrome,Comorbidities,37,12
Awareness Of Social And Personal Space,Recognition of Social Norms,3,3
Bacterial Infections,Comorbidities,92,39
Psychiatric Hospitalization,Complaints and indications,54,54
Engaging In Social Conversation,Interpersonal Interactions,17,17
Interactions With Friends And Family,Interpersonal Interactions,15,15
Iq,Cognitive Abilties,71,25
Sharing In Interests Of Others,Interpersonal Interactions,17,17
Exposures,Exposures,338,121
Clothing Self,Adaptive Life Skills,7,7
Use Of Free Time,Executive Function,7,7
Control Of Emotional Reactions,Executive Function,9,9
Rubella,Comorbidities,10,10
Reasoning,Cognitive Abilties,4,4
Adherence To Rituals And Routines,Stereotyped Restricted and Repetitive Behaviours,1,1
Self Concept,Emotional Traits,1,1
Mood,Emotional Traits,73,32
Abnormal Activity Or Energy Level,Complaints and indications,84,84
Analytic Capability,Cognitive Abilties,1,1
Asthma,Comorbidities,37,15
Gastrointestinal Diseases,Comorbidities,51,18
Attention And Focus,Executive Function,50,50
Central Nervous System Diseases,Comorbidities,82,31
Eye Contact,Interpersonal Interactions,61,61
Mental Flexibility,Executive Function,4,4
Executive Function,Executive Function,118,19
Ulcerative Colitis,Comorbidities,23,23
Otitis,Comorbidities,3,3
Irritable Bowel Syndrome,Comorbidities,15,7
Body Temperature Changes,Complaints and indications,20,20
Hospitalizations,Exposures,257,137
Reciprocal Social Interaction,Interpersonal Interactions,642,245
Task Performance,Executive Function,36,18
Thyroid Diseases,Comorbidities,4,4
Receptive Morphology,Language Ability,1,1
Hydrocephalus,Comorbidities,123,53
Adaptive Life Skills,Adaptive Life Skills,9,9
Pica,Complaints and indications,92,92
Skill In Understanding Humor,Recognition of Social Norms,3,3
Drug Abuse,Exposures,22,22
Idiosyncratic And Routinized Speech,Language Ability,5,5
