Label,Group,Count,RelevantCount
Disobedience,Recognition of Social Norms,1,1
Engaging In Social Conversation,Interpersonal Interactions,68,27
Facial Expressions,Language Ability,8,8
Expressive Syntax,Language Ability,14,14
Diagnosis,Diagnosis,742,535
Endocrine System Diseases,Comorbidities,7,7
Attention Deficit Disorder With Hyperactivity,Comorbidities,234,75
IQ,Cognitive Abilties,150,48
Reasoning,Cognitive Abilties,16,3
Skill In Understanding Humor,Recognition of Social Norms,32,32
Executive Function,Executive Function,165,40
Sorting Ability,Executive Function,3,3
Skill In Understanding Non Literal Meaning,Recognition of Social Norms,4,4
Emotional Outbursts,Executive Function,51,10
Rubella,Comorbidities,5,4
Smoking,Exposures,24,9
Initiating Social Interaction,Interpersonal Interactions,23,23
Overactivity,Complaints and indications,257,122
Obsessive Compulsive Disorder,Comorbidities,158,59
Lethargy,Complaints and indications,11,11
Onset Of Symptoms,Diagnosis,469,210
Interpersonal Interactions,Interpersonal Interactions,18,18
Adherence To Rules In The Home,Adaptive Life Skills,1,1
Metabolic Indications,Complaints and indications,39,15
Mental Flexibility,Executive Function,9,9
Receptive Morphology,Language Ability,1,1
Job Performance,Adaptive Life Skills,87,35
Gross Motor Skills,Motor Skills,51,51
Social Anxiety,Interpersonal Interactions,8,8
Suspicious Of Others,Complaints and indications,23,23
Substance Abuse,Exposures,34,8
Ability To Converse In Social Settings,Recognition of Social Norms,491,152
Use Of Free Time,Executive Function,42,8
Managing Internal Emotions,Executive Function,8,8
Unusual Sensory Interests,Stereotyped Restricted and Repetitive Behaviours,30,30
Emotional Regulation And Control,Executive Function,46,17
Learning Disorders,Comorbidities,510,212
Anxiety,Emotional Traits,9,9
Reaction To Sensory Stimuli,Stereotyped Restricted and Repetitive Behaviours,126,57
Restricted Range Of Interests,Stereotyped Restricted and Repetitive Behaviours,119,17
Initiating And Responding To Social Overtures,Interpersonal Interactions,1,1
Abnormal Activity Or Energy Level,Complaints and indications,83,24
Self Care,Adaptive Life Skills,16,16
Hearing Loss,Comorbidities,27,27
Complaints And Indications,Complaints and indications,516,282
Migraine Disorders,Comorbidities,26,26
Phenylketonurias,Comorbidities,5,5
Mental Retardation,Comorbidities,227,88
Prosody,Language Ability,88,21
Receptive Syntax,Language Ability,3,3
Color Perception,Cognitive Abilties,2,2
Immoderate Behavior,Executive Function,37,37
Repetitive Actions,Stereotyped Restricted and Repetitive Behaviours,9,9
Skin Indications,Complaints and indications,14,14
Poor Eating Behavior,Adaptive Life Skills,1,1
Pattern Recognition And Rendering,Cognitive Abilties,18,18
Expressive Morphology,Language Ability,2,2
Body Temperature Changes,Complaints and indications,17,17
Compulsive Behavior,Stereotyped Restricted and Repetitive Behaviours,4,4
Bipolar Disorder,Comorbidities,109,26
Eye Contact,Interpersonal Interactions,151,53
Receptive Semantics,Language Ability,3,3
Task Initiation,Executive Function,1,1
Virus Diseases,Comorbidities,33,13
Cranial Nerve Diseases,Comorbidities,6,6
Receptive Language,Language Ability,62,62
Mental Disorders,Comorbidities,435,172
Eating Ability,Adaptive Life Skills,2,2
Social Interest,Interpersonal Interactions,89,29
Attention And Focus,Executive Function,99,99
Mood,Emotional Traits,131,39
Reciprocal Social Interaction,Interpersonal Interactions,848,677
Inflammatory Bowel Diseases,Comorbidities,15,15
Neurodegenerative Diseases,Comorbidities,30,30
Rett Syndrome,Diagnosis,86,86
