gene,score,syndromic,doc_count,total_count
DDX53,4,0,120,1608
PTEN,1,1,36,508
KATNAL2,1,0,2,4
MECP2,2,1,52,796
AMBRA1,5,0,2,60
FMR1,,1,61,694
EPHB2,4,0,5,18
MAPK1,5,0,7,26
GRM5,4,0,15,148
CUX1,2,0,95,322
DCX,,0,21,80
OXT,4,0,24,1430
GTF2I,4,0,12,304
PTPRC,,0,1,2
TRIO,2,0,47,126
MEF2C,4,1,4,36
CYP27A1,,1,3,20
SCN1A,3,1,10,68
MAP2,5,0,9,30
ERMN,4,0,2,4
HTR1B,4,0,6,26
MSN,5,0,6,22
MARK1,4,0,45,136
PLXNB1,3,0,2,6
AFF2,4,0,2,8
HEPACAM,,1,2,12
CD38,4,0,13,282
GABRQ,5,0,27,334
MBD4,4,0,1,2
CHD8,1,1,16,382
SIN3A,4,1,2,4
CTCF,3,0,2,6
DYNC1H1,3,0,1,2
BRD4,4,0,16,52
SHOX,3,0,20,100
PRKN,3,0,3,198
SLC6A3,3,0,4,18
ERG,4,0,4,20
OXTR,3,0,12,232
IL1RAPL1,4,0,2,4
NRXN1,2,0,15,224
CNTNAP2,2,1,25,284
SYN1,4,0,1,10
SYN2,4,0,2,16
SCN8A,3,0,13,50
TH,,0,16,762
C4B,4,0,12,336
RAI1,3,1,6,180
ASS1,5,0,4,14
CX3CR1,4,0,2,8
CDH9,4,0,3,10
CDH10,4,0,3,6
DPYSL2,3,0,2,4
GRIK2,3,0,2,4
GAD1,5,0,10,42
MAPK3,4,0,7,28
SEZ6L2,4,0,3,8
KCTD13,4,0,5,36
TBX1,4,0,7,74
FEZF2,4,0,3,14
TOP3B,4,0,1,10
GNB1L,4,0,1,2
SHANK2,2,0,46,654
SHANK1,3,0,40,230
MBD5,3,1,3,62
NLGN1,3,0,10,190
SMC3,4,1,7,16
TBL1X,4,0,2,4
TBR1,1,0,7,42
BDNF,5,0,13,76
SLC12A5,3,0,2,8
AVPR1A,3,0,6,28
IL6,5,0,20,202
IL17A,5,0,9,30
SHANK3,1,1,61,1690
APP,5,0,15,150
SYNE1,4,1,2,4
FOXP1,2,1,10,184
ATP2B2,3,0,1,10
EXT1,4,0,3,14
MACROD2,3,0,1,10
HDAC4,,1,3,16
GRIN2B,1,0,12,46
SCN2A,1,0,12,136
SYNGAP1,1,1,14,52
EEF1A2,,1,1,2
AVPR1B,4,0,2,38
FHIT,4,0,2,4
AVP,5,0,7,86
STX1A,4,0,2,6
FAT1,4,0,21,130
EP400,3,0,1,102
PLXNA3,4,0,15,36
CNTN5,3,0,3,284
CNTN4,2,0,3,20
SNAP25,4,0,10,32
CNTN6,3,0,2,26
ESR1,5,0,3,14
APBB1,3,0,1,2
AGAP2,3,0,1,2
HDC,5,0,1,2
SETD2,3,0,2,8
SMARCA2,,1,2,4
SLC1A2,,1,3,6
CTNND2,2,0,3,6
GRIA1,2,0,11,48
GRIK4,5,0,3,10
PTPN11,4,1,4,10
LAT,5,0,1,10
EPHA6,5,0,1,2
GSK3B,5,0,2,10
BBS4,4,0,1,2
GRID1,3,0,2,4
EP300,4,1,4,12
ADK,4,0,6,14
TUBGCP5,4,0,2,4
VPS13B,,1,2,6
XPO1,4,0,1,2
TCF4,3,1,5,12
TCF7L2,3,0,5,12
TSC2,3,1,16,80
RELN,1,0,13,44
CREBBP,5,0,15,126
HCFC1,,0,1,4
MTOR,3,1,17,114
DISC1,3,0,6,24
PEX7,,0,10,50
TDO2,4,0,3,26
NOS2,5,0,3,16
APC,5,0,4,22
CNR1,3,0,4,80
SOD1,4,0,5,26
GRIN1,3,0,3,14
STXBP1,3,1,10,46
REEP3,4,0,1,2
DRD1,4,0,3,14
NOS1AP,5,0,1,2
NR4A2,4,0,2,4
DLG4,5,0,20,128
VIP,,0,2,14
SLC25A12,4,0,4,10
GABRB3,2,0,11,106
ACHE,3,0,2,88
CHRNA7,3,0,7,166
CHRM3,4,0,1,2
NLGN4X,3,0,15,74
NRXN2,4,0,3,128
NRXN3,3,0,5,20
NLGN2,4,0,3,16
NLGN3,2,0,15,108
GPHN,3,0,2,10
TBC1D7,,0,1,2
TSC1,,1,25,136
UBE3A,3,1,15,106
PCDH10,4,0,2,10
MYO16,4,0,1,10
CTTNBP2,3,0,6,34
DYRK1A,1,1,11,406
STXBP5,3,0,1,6
PRICKLE1,3,0,1,10
DOCK1,4,0,1,4
RAC1,5,0,4,26
CDH8,4,0,3,12
CDH11,4,0,3,18
PCDH9,4,0,2,6
PCDH19,,1,2,8
CADM1,4,0,2,6
TYR,5,0,3,16
NTRK1,4,0,4,12
NTRK2,,1,8,34
NTRK3,4,0,4,32
CDKL5,,1,5,34
HOMER1,4,0,8,86
DLGAP3,,0,6,20
DLGAP1,3,0,4,10
SLC6A4,4,0,9,32
BCL2,6,0,3,8
NR1H2,5,0,1,2
PLN,4,0,2,6
FOXG1,,1,6,22
SLC1A1,4,0,1,2
GRIN2A,4,0,4,48
ATRX,4,0,2,20
ARX,,1,1,4
NF1,,1,8,20
NIPA1,4,0,1,6
AHI1,,1,1,8
SEMA5A,3,0,1,2
AUTS2,3,0,4,22
POMGNT1,,0,1,2
PVALB,5,0,2,70
DLGAP2,4,0,2,6
HTR2A,5,0,5,26
SNRPN,5,0,4,10
RORA,,1,4,8
PXDN,,0,1,2
EN2,4,0,6,16
MCC,,0,1,4
ADNP,1,1,5,48
DLG1,4,0,3,10
SPAST,2,0,1,2
CUL3,1,0,3,6
KMT2C,2,1,2,4
NCKAP1,2,0,4,14
RIMS1,2,0,3,6
SRCAP,2,0,2,4
TCF20,2,0,2,4
TNRC6B,2,0,3,10
INTS6,2,0,1,2
BCKDK,2,0,2,4
MED13,2,1,1,2
KMT5B,1,0,5,48
ERBIN,2,0,2,4
KAT2B,2,0,3,14
ASH1L,1,0,5,38
SRSF11,2,0,1,2
KDM5B,2,0,1,2
PHF3,2,0,1,2
IRF2BPL,2,0,1,2
MED13L,2,1,5,22
SMARCC2,2,0,1,2
ILF2,2,0,1,2
ANK2,1,0,4,14
KDM6A,2,0,1,2
DIP2C,2,0,1,2
GRIP1,2,0,3,8
SLC6A1,2,1,2,14
CACNA1D,2,0,3,78
CACNA2D3,2,0,1,2
UBN2,2,0,1,2
WDFY3,2,0,4,32
NAA15,1,1,4,40
PTCHD1,2,0,3,8
SCN9A,2,0,2,78
DSCAM,1,0,4,26
TBL1XR1,2,0,2,6
MYT1L,1,0,4,14
USP7,2,0,1,2
CACNA1H,2,0,1,2
GIGYF2,2,0,3,12
RANBP17,2,0,1,2
CHD5,5,0,1,2
CTNNB1,3,0,6,262
HNRNPU,4,1,1,2
KLF16,4,0,1,2
MSANTD2,4,0,1,2
AMPD1,3,0,1,2
CYFIP1,3,0,3,10
ACE,4,0,5,28
ARID1B,1,1,5,330
ARHGEF9,4,1,1,4
HDAC3,5,0,1,2
SMARCA4,3,0,4,32
AMT,3,0,4,10
AP1S2,,1,3,16
DMPK,,1,6,22
LEP,4,0,3,14
USP15,2,0,1,8
SETBP1,3,0,4,16
WNT2,5,0,2,6
WNT1,4,0,1,2
ANKRD11,2,1,3,52
HLA-G,4,0,1,2
ASTN2,3,0,2,32
DPYD,4,0,1,2
DMD,,1,1,2
MDGA2,4,0,1,2
EIF4EBP2,5,0,1,4
PAX6,,1,3,64
NOS1,,0,3,8
DHCR7,,1,2,42
RERE,4,1,2,4
AR,4,0,8,20
YWHAE,4,0,1,2
